Mann-Kendall Trend Test at 100 ADCIRC Sites
Significant (p < 0.05): 1 / 100
Expected by chance at 5%: 5
Median Sens slope: 0.00036 m/yr
Mean Sens slope: 0.00059 m/yr
Range: [-0.00224, 0.00528] m/yr

Site, Lat, Lon, N, MK_tau, MK_pvalue, Sens_slope
88, 41.4280, -71.4033, 43, -0.0233, 0.8342, -0.00029
89, 41.5275, -70.9097, 43, -0.0122, 0.9167, -0.00038
90, 41.6002, -70.1979, 43, 0.0653, 0.5439, 0.00083
91, 41.7958, -70.1412, 43, 0.0565, 0.6008, 0.00081
92, 42.1015, -70.6227, 43, 0.0986, 0.3571, 0.00118
93, 42.6640, -70.5806, 43, 0.0609, 0.5720, 0.00069
94, 43.2430, -70.5603, 43, 0.0764, 0.4767, 0.00083
95, 43.7520, -70.0815, 43, 0.1274, 0.2328, 0.00115
96, 43.9655, -69.3799, 43, 0.0055, 0.9666, 0.00005
97, 44.4099, -68.8449, 43, 0.0742, 0.4897, 0.00082
98, 44.3722, -68.0095, 43, 0.0321, 0.7695, 0.00024
99, 44.6456, -67.3231, 43, -0.0078, 0.9499, -0.00023
100, 45.0329, -66.7400, 43, 0.0808, 0.4511, 0.00072
