"Batch","NLL","Cor_mu","Cor_logsig","Cor_xi","RL_RMSE","LPD_joint","LPD_gain"
"Batch 1",-97.8310327763571,0.995029547905175,0.640039615721508,0.841035201934761,0.49116846672792,22.9844862789517,31.5134909406995
"Batch 2",-100.125434521863,0.993680626262336,0.778295071645832,0.8143593096242,0.476609892656927,27.1768176940813,35.705822355829
"Batch 3",-97.3838903029308,0.995085904754805,0.492261169825177,0.812071172777688,0.454502004560427,24.2525689549938,32.7815736167416
"Batch 4",-104.270252775943,0.995914183209048,0.561723200892521,0.848895123268775,0.471982779877193,28.5445967632378,37.0736014249855
"Production",-96.2740866573843,0.994699749248112,0.442987752231355,0.836738949899034,0.467035859817463,23.8389869393484,32.3679916010961
